school_rank,school_name_en,department_id,department_name_en,url,category,status,needs_js_hint,notes,last_validated_at,validated_by
1,Massachusetts Institute of Technology (MIT),mit-ctl,MIT Center for Transportation & Logistics (CTL),https://ctl.mit.edu/,engineering_management,valid,False,MIT 供应链/物流方向旗舰中心，含 SCM 硕士项目；研究方向覆盖供应链优化、运筹。Faculty: https://ctl.mit.edu/about/people,,
1,Massachusetts Institute of Technology (MIT),mit-idss-cm,"MIT Institute for Data, Systems, and Society (IDSS) - Center for Computational Marketing",https://idss.mit.edu/,decision_science,valid,False,IDSS 横跨运筹、统计与社会科学，含 Center for Computational Marketing / Center for Statistics and Data Science；教师页: https://idss.mit.edu/people/,,
1,Massachusetts Institute of Technology (MIT),mit-orc,MIT Operations Research Center (ORC),https://orc.mit.edu/,operations_research,valid,False,MIT 工程学院下的运筹中心，是 MIT 在 OR/优化/随机方向的核心组织。教师与博士: https://orc.mit.edu/people,,
1,Massachusetts Institute of Technology (MIT),mit-sloan,MIT Sloan School of Management,https://mitsloan.mit.edu/,business_school,valid,False,Sloan 是 MIT 的管理学院；含 MBA、Master of Finance、Master of Business Analytics、PhD。研究方向涵盖运筹、行为决策、Sloan 工业经济（已合入）。教师入口: https://mitsloan.mit.edu/faculty,,
2,Imperial College London,imperial-business-school,Imperial College Business School,https://www.imperial.ac.uk/business-school/,business_school,valid,False,含 MBA、MSc Business Analytics、MSc Finance、PhD。研究方向覆盖金融、运营、运筹与商业分析。Faculty: https://www.imperial.ac.uk/business-school/people/,,
3,Stanford University,stanford-gsb,Stanford Graduate School of Business,https://www.gsb.stanford.edu/,business_school,valid,False,Stanford GSB 含 MBA、MSx、PhD；研究含经济分析与政策、运营/信息/技术、组织行为。Faculty: https://www.gsb.stanford.edu/faculty-research/faculty,,
3,Stanford University,stanford-icme,Stanford Institute for Computational and Mathematical Engineering (ICME),https://icme.stanford.edu/,engineering_management,valid,False,ICME 是工程学院的交叉中心，含计算数学/数据科学/优化方向教师；与 MS&E 互补。,,
3,Stanford University,stanford-msande,Stanford Department of Management Science and Engineering,https://msande.stanford.edu/,engineering_management,valid,False,MS&E 是管理科学与工程的代表性系；含运筹、决策分析、概率与随机系统、SCM、金融与会计工程。Faculty: https://msande.stanford.edu/people/faculty,,
4,University of Oxford,oxford-bsg,Oxford Blavatnik School of Government,https://www.bsg.ox.ac.uk/,public_policy,valid,False,公共政策/政府研究方向，Oxford 旗舰。含 MPP、PhD、Research 等。Faculty: https://www.bsg.ox.ac.uk/people,,
4,University of Oxford,oxford-said,Oxford Saïd Business School,https://www.sbs.ox.ac.uk/,business_school,valid,False,含 MBA、MSc in Management / Finance / Financial Economics、PhD。Faculty: https://www.sbs.ox.ac.uk/research/research-faculty,,
5,Harvard University,harvard-hbs,Harvard Business School (HBS),https://www.hbs.edu/,business_school,valid,False,HBS 含 MBA、Doctoral Programs (DBA)、Master of Business Analytics。研究含会计与管理、决策科学、运营管理、技术与运营管理。Faculty: https://www.hbs.edu/leadership/faculty-and-research,,
5,Harvard University,harvard-hks,Harvard Kennedy School (HKS),https://www.hks.harvard.edu/,public_policy,valid,False,HKS 是全球公共政策标杆，含 MPP、MPA、PhD，研究含政策分析、经济发展。Faculty: https://www.hks.harvard.edu/faculty,,
6,University of Cambridge,cambridge-cpp,Cambridge Centre for Public Policy (CPP),https://www.publicpolicy.cam.ac.uk/,public_policy,valid,False,Cambridge 的公共政策交叉研究组织，挂靠在 Judge 与人文社科院之间。MPhil in Public Policy 项目。,,
6,University of Cambridge,cambridge-judge,Cambridge Judge Business School,https://www.jbs.cam.ac.uk/,business_school,valid,False,含 MBA、MPhil in Management / Finance / Technology Policy、PhD。Faculty: https://www.jbs.cam.ac.uk/people/research-faculty/,,
7,ETH Zurich,eth-dmtec,"ETH Zurich Department of Management, Technology, and Economics (D-MTEC)",https://mtec.ethz.ch/,engineering_management,valid,False,D-MTEC 含管理、运筹、系统工程、风险与安全、健康 TIK。Chair of Operations Research: https://or.ethz.ch/。Faculty: https://mtec.ethz.ch/people/people.html,,
8,UCL (University College London),ucl-school-of-management,UCL School of Management,https://www.ucl.ac.uk/management/,management_school,valid,False,含 MSc Management / Business Analytics / Finance、PhD。研究含商业分析、运营与供应链、创业与创新。Faculty: https://www.ucl.ac.uk/management/people,,
9,California Institute of Technology (Caltech),caltech-cms,Caltech Computing and Mathematical Sciences (CMS),https://www.cms.caltech.edu/,decision_science,suspected_irrelevant,False,CMS 含控制与决策、机器学习、运筹学方向少量教师 (Prof. John Doyle 等) 可作为 IE/OR/decision 候补，仍不构成本任务的主要采集源。,,
9,California Institute of Technology (Caltech),caltech-eas,Caltech Division of Engineering and Applied Science (EAS) — relevant groups,https://eas.caltech.edu/,industrial_engineering,suspected_irrelevant,False,Caltech 无独立商学院或管理学院。EAS 下含 Control and Dynamical Systems 与 Computing and Mathematical Sciences，含少量与运筹/决策交叉的教师。如要采集管理/工程管理方向，建议改从 JPL/Caltech CMS 招聘页或 Simons Institute 等替代；当前条目保留为占位。,,
10,University of Chicago,chicago-booth,Chicago Booth School of Business,https://www.chicagobooth.edu/,business_school,valid,False,Booth 含 MBA、PhD、Master in Business Analytics、Executive MBA。研究方向含经济学、统计、决策科学、运营管理。Faculty: https://www.chicagobooth.edu/faculty,,
10,University of Chicago,chicago-cdr,Chicago Booth Center for Decision Research (CDR),https://www.cdr.uchicago.edu/,decision_science,valid,False,CDR 是 Booth 下的行为决策科学中心，研究判断与决策心理学、行为经济学。Faculty & Researchers: https://www.cdr.uchicago.edu/people,,
10,University of Chicago,chicago-harris,University of Chicago Harris School of Public Policy,https://harris.uchicago.edu/,public_policy,valid,False,Harris 是 Chicago 公共政策学院，含 MPP、MA、PhD。Faculty: https://harris.uchicago.edu/people,,
11,University of Pennsylvania,upenn-lauder,Penn Lauder Institute for International Management,https://lauder.wharton.upenn.edu/,management_school,valid,False,Lauder 是 Wharton + 文理学院的国际管理联合项目；方向含跨文化管理。,,
11,University of Pennsylvania,upenn-wharton,The Wharton School,https://www.wharton.upenn.edu/,business_school,valid,False,"Wharton 含 MBA、MS / MBI、PhD；研究方向涵盖 11 个系 (含 OID/Operations, Information and Decisions)。Faculty: https://faculty.wharton.upenn.edu/",,
12,Cornell University,cornell-cipa,Cornell Institute for Public Affairs (CIPA),https://publicpolicy.cornell.edu/,public_policy,valid,False,CIPA 是 Cornell 公共政策方向，含 MPA、PhD。研究含环境与发展政策。,,
12,Cornell University,cornell-johnson,Cornell SC Johnson College of Business,https://business.cornell.edu/,business_school,valid,False,下设 Johnson (MBA/PhD)、Dyson (应用经济与管理)、SHA (酒店管理)。教师索引: https://business.cornell.edu/people/faculty-research,,
12,Cornell University,cornell-orie,Cornell Operations Research and Information Engineering (ORIE),https://www.orie.cornell.edu/,operations_research,valid,False,ORIE 是 Cornell 工程学院的代表性 IE/OR 系，含运筹、信息工程、机器学习、数据科学。Faculty: https://www.orie.cornell.edu/people/faculty,,
13,University of Melbourne,melbourne-business-school,Melbourne Business School (MBS),https://mbs.edu/,business_school,valid,False,MBS 与墨尔本大学 Faculty of Business and Economics 关联紧密；同时记录 Faculty of Business and Economics 入口 https://fbe.unimelb.edu.au/ 作为补充。,,
14,"University of California, Berkeley (UCB)",ucb-gspp,Berkeley Goldman School of Public Policy (GSPP),https://gspp.berkeley.edu/,public_policy,valid,False,Berkeley 公共政策学院，含 MPP、PhD。研究含政策分析、能源/环境/发展政策。,,
14,"University of California, Berkeley (UCB)",ucb-haas,Berkeley Haas School of Business,https://haas.berkeley.edu/,business_school,valid,False,Haas 含 MBA、PhD、Master of Financial Engineering、Master of Business Analytics。Faculty: https://haas.berkeley.edu/faculty/,,
14,"University of California, Berkeley (UCB)",ucb-ieor,Berkeley Industrial Engineering & Operations Research (IEOR),https://ieor.berkeley.edu/,industrial_engineering,valid,False,IEOR 隶属 Berkeley 工程学院，是 IE/OR 与管理工程的传统强系。Faculty: https://ieor.berkeley.edu/people/,,
15,Yale University,yale-jackson,Yale Jackson School of Global Affairs,https://jackson.yale.edu/,public_policy,valid,False,Yale 的全球事务学院，含 MIPP、PhD、Global Affairs 证书项目。,,
15,Yale University,yale-som,Yale School of Management (SOM),https://som.yale.edu/,management_school,valid,False,SOM 含 MBA、PhD、Master of Business Analytics、Master of Management Studies。Faculty: https://som.yale.edu/faculty-research,,
16,Peking University,pku-guanghua,Peking University Guanghua School of Management,https://www.gsm.pku.edu.cn/,business_school,valid,False,光华管理学院在国内管理学科排名稳居前列，含本科、硕士、博士、MBA、EMBA。教师中文入口: https://www.gsm.pku.edu.cn/faculty/，英文版: https://en.gsm.pku.edu.cn/faculty/index.htm,,
16,Peking University,pku-spg,Peking University School of Government (政府管理学院),https://www.sg.pku.edu.cn/,public_policy,valid,False,北京大学政府管理学院，含政治学、行政管理、公共政策。,,
17,Princeton University,princeton-orfe,Princeton Operations Research and Financial Engineering (ORFE),https://orfe.princeton.edu/,operations_research,valid,False,ORFE 是 Princeton 工程学院下的运筹与金融工程系，与管理科学/决策方向紧密相关。Faculty: https://orfe.princeton.edu/people/faculty,,
17,Princeton University,princeton-spia,Princeton School of Public and International Affairs (SPIA),https://spia.princeton.edu/,public_policy,valid,False,SPIA 是公共政策方向的主要入口；含 MPA、PhD 公共事务。Faculty: https://spia.princeton.edu/people,,
18,University of New South Wales (UNSW Sydney),unsw-business-school,UNSW Business School,https://www.unsw.edu.au/business,business_school,valid,False,UNSW 商学院含精算、银行与金融、会计、商业分析与信息系统、管理、运营与风险管理、市场营销。Faculty: https://www.unsw.edu.au/business/our-people,,
19,University of Toronto,uoft-munk,Munk School of Global Affairs & Public Policy (U of T),https://munk.utoronto.ca/,public_policy,valid,False,Toronto 的全球事务与公共政策学院，含 MPP、PhD。研究含政策、治理。,,
19,University of Toronto,uoft-rotman,Rotman School of Management,https://www.rotman.utoronto.ca/,business_school,valid,False,Rotman 含 MBA、PhD、Master of Financial Risk Management、Master of Business Analytics。Faculty: https://www.rotman.utoronto.ca/faculty-and-research/faculty,,
20,Tsinghua University,tsinghua-dmei,Tsinghua Department of Management Science and Engineering (MSE / 工业工程系),https://www.imse.tsinghua.edu.cn/,engineering_management,valid,False,管理科学与工程是清华一级学科，工业工程系是承载单位之一；含运筹、决策、物流与供应链、信息系统。,,
20,Tsinghua University,tsinghua-sem,Tsinghua School of Economics and Management (SEM),https://www.sem.tsinghua.edu.cn/,business_school,valid,False,清华大学经济管理学院，含本科、博士、MBA、EMBA。教师中文: https://www.sem.tsinghua.edu.cn/szll/jzg.htm，英文: https://www.sem.tsinghua.edu.cn/en/People/Faculty.htm,,
20,Tsinghua University,tsinghua-sppm,Tsinghua School of Public Policy & Management (SPPM),https://www.sppm.tsinghua.edu.cn/,public_policy,valid,False,清华大学公共管理学院，公共管理一级学科。含 MPA、MPP、PhD、IMPA。,,
21,University of Michigan-Ann Arbor,umich-ioe,University of Michigan Industrial and Operations Engineering (IOE),https://ioe.engin.umich.edu/,industrial_engineering,valid,False,IOE 是工程学院的工业与运营工程系，含运筹、人因、随机系统、运筹分析。Faculty: https://ioe.engin.umich.edu/people,,
21,University of Michigan-Ann Arbor,umich-ross,Michigan Ross School of Business,https://michiganross.umich.edu/,business_school,valid,False,Ross 含 MBA、MS、PhD、Master of Business Analytics、Master of Supply Chain Management。Faculty: https://michiganross.umich.edu/faculty-research,,
22,National University of Singapore (NUS),nus-business-school,NUS Business School,https://bschool.nus.edu.sg/,business_school,valid,False,NUS 商学院含 MBA、PhD、Master of Business Analytics、MSc in Business Analytics (NUS-ISS 联培)。Faculty: https://bschool.nus.edu.sg/faculty-research/faculty/,,
22,National University of Singapore (NUS),nus-computing,NUS School of Computing (SoC) — Information Systems programme,https://www.comp.nus.edu.sg/,information_systems,valid,False,NUS SoC 下的 IS 方向（Bachelor/Master of Computing in Information Systems）与商学院互补；可一并抓取 IS 教师。,,
22,National University of Singapore (NUS),nus-ise,NUS Department of Industrial Systems Engineering and Management (ISE),https://www.eng.nus.edu.sg/isem/,engineering_management,valid,False,IEM 属 NUS 工程学院，含运筹/统计/数据分析/工业工程/管理信息系统。,,
22,National University of Singapore (NUS),nus-lky,NUS Lee Kuan Yew School of Public Policy (LKYSPP),https://lkyspp.nus.edu.sg/,public_policy,valid,False,LKYSPP 是 NUS 公共政策学院，含 MPP、MPA、PhD。,,
23,Johns Hopkins University,jhu-carey,Johns Hopkins Carey Business School,https://carey.jhu.edu/,business_school,valid,False,Carey 含 MBA、MS in Business Analytics / Finance / Information Systems、PhD。Faculty: https://carey.jhu.edu/faculty-research,,
23,Johns Hopkins University,jhu-sais,Johns Hopkins School of Advanced International Studies (SAIS),https://sais.jhu.edu/,public_policy,valid,False,JHU SAIS 是国际关系与公共政策的旗舰学院，含 MIPP、MA、PhD，分布于 DC/欧洲/博洛尼亚校区。,,
24,University of Edinburgh,edinburgh-business-school,University of Edinburgh Business School,https://www.business-school.ed.ac.uk/,business_school,valid,False,含 MBA、MSc in Management / Business Analytics、PhD。Faculty: https://www.business-school.ed.ac.uk/research/our-researchers,,
25,Columbia University,columbia-business-school,Columbia Business School,https://www8.gsb.columbia.edu/,business_school,valid,False,CBS 含 MBA、PhD、MS in Business Analytics / Financial Economics。Faculty: https://www8.gsb.columbia.edu/faculty-research/faculty,,
25,Columbia University,columbia-ieor,Columbia Department of Industrial Engineering and Operations Research (IEOR),https://ieor.columbia.edu/,industrial_engineering,valid,False,IEOR 是哥伦比亚工程学院的代表性系，含运筹、OR/Stats/DA、运筹与金融工程方向。,,
25,Columbia University,columbia-sipa,Columbia School of International and Public Affairs (SIPA),https://sipa.columbia.edu/,public_policy,valid,False,SIPA 是 Columbia 公共政策/国际事务学院，含 MPA、MPP、PhD。,,
26,École Polytechnique Fédérale de Lausanne (EPFL),epfl-cdm,EPFL College of Management of Technology (CDM),https://cdm.epfl.ch/,engineering_management,valid,False,CDM 是 EPFL 的管理学院，含金融工程、管理科学、运营、技术与创业。Faculty: https://cdm.epfl.ch/people/,,
27,King's College London,kcl-business-school,King's Business School,https://www.kcl.ac.uk/business,business_school,valid,False,KBS 含 MSc in Management / Digital Marketing / Business Analytics、PhD。Faculty 入口: https://www.kcl.ac.uk/business/people,,
28,University of Hong Kong (HKU),hku-business-school,HKU Business School,https://www.hkubs.hku.hk/,business_school,valid,False,HKUBS 含 MBA、PhD、Master of Economics、Master of Business Analytics、Master of Finance。Faculty: https://www.hkubs.hku.hk/people,,
28,University of Hong Kong (HKU),hku-pp,HKU Department of Politics and Public Administration,https://www.ppa.hku.hk/,public_policy,valid,False,HKU 政治与公共行政学系是公共政策/治理方向主要院系。,,
29,University of Tokyo,utokyo-gra-pp,The University of Tokyo Graduate School of Public Policy (GraSPP),https://www.pp.u-tokyo.ac.jp/en/,public_policy,valid,False,东京大学公共政策大学院，是管理/政策/经济交叉方向。,,
29,University of Tokyo,utokyo-grad-econ,The University of Tokyo Graduate School of Economics,https://www.e.u-tokyo.ac.jp/,engineering_management,valid,False,东京大学经济学研究科是经济与管理方向主要入口；同时记录工学部系统创成学 / 决策分析方向的入口 https://www.s.t.u-tokyo.ac.jp/en/ 作为补充。,,
30,Northwestern University,northwestern-iems,Northwestern McCormick School of Engineering — IEMS (Industrial Engineering & Management Sciences),https://www.iems.northwestern.edu/,industrial_engineering,valid,False,IEMS 是 McCormick 工程学院下的代表性 IE/MS 系，含运筹、随机系统、决策科学、供应链。,,
30,Northwestern University,northwestern-kellogg,Kellogg School of Management,https://www.kellogg.northwestern.edu/,business_school,valid,False,Kellogg 含 MBA、PhD、MS in Business Analytics、Master in Management。Faculty: https://www.kellogg.northwestern.edu/faculty,,
31,"University of California, Los Angeles (UCLA)",ucla-anderson,UCLA Anderson School of Management,https://www.anderson.ucla.edu/,business_school,valid,False,Anderson 含 MBA、PhD、Master of Business Analytics / Financial Engineering。Faculty: https://www.anderson.ucla.edu/faculty-and-research,,
31,"University of California, Los Angeles (UCLA)",ucla-luskin,UCLA Luskin School of Public Affairs,https://luskin.ucla.edu/,public_policy,valid,False,Luskin 含 MPP、PhD、Social Welfare、Urban Planning。Faculty: https://luskin.ucla.edu/people,,
32,Fudan University,fudan-fdsm,Fudan University School of Management (FDSM),https://www.fdsm.fudan.edu.cn/,management_school,valid,False,复旦大学管理学院，含本科、硕士、博士、MBA、EMBA、Master of Business Analytics。中文教师: https://www.fdsm.fudan.edu.cn/teachers/，英文: https://www.fdsm.fudan.edu.cn/en/faculty.htm,,
32,Fudan University,fudan-sds,Fudan School of Data Science (大数据学院),https://sds.fudan.edu.cn/,information_systems,valid,False,复旦大学大数据学院含统计/数据科学方向，可与 FDSM 互补。,,
33,New York University (NYU),nyu-cds,NYU Center for Data Science (CDS),https://cds.nyu.edu/,information_systems,valid,False,与 Stern/MSDS 联培的数据科学中心；含 data science 方向教师与研究。People: https://cds.nyu.edu/people/,,
33,New York University (NYU),nyu-stern,NYU Stern School of Business,https://www.stern.nyu.edu/,business_school,valid,False,Stern 含 MBA、PhD、MS in Business Analytics / Data Science & Business Statistics (与 Center for Data Science 联培)。Faculty: https://www.stern.nyu.edu/faculty-research,,
33,New York University (NYU),nyu-wagner,NYU Wagner School of Public Service,https://wagner.nyu.edu/,public_policy,valid,False,Wagner 含 MPA、MPP、MHA、PhD。Faculty: https://wagner.nyu.edu/about/people,,
34,The University of Manchester,manchester-alliance-mbs,Alliance Manchester Business School,https://www.alliancembs.manchester.ac.uk/,business_school,valid,False,Alliance MBS 是英国最大的商学院之一，含 MBA、MSc、PhD。Faculty: https://www.alliancembs.manchester.ac.uk/about/people/,,
35,London School of Economics and Political Science (LSE),lse-dept-management,LSE Department of Management,https://www.lse.ac.uk/management,management_school,valid,False,LSE 管理系与统计系合作开设 MSc in Management / Data Science / Operations Research & Analytics。Faculty: https://www.lse.ac.uk/management/people,,
35,London School of Economics and Political Science (LSE),lse-school-public-policy,LSE School of Public Policy,https://www.lse.ac.uk/school-of-public-policy,public_policy,valid,False,LSE 的公共政策学院，含 MPA、MPP、PhD。,,
35,London School of Economics and Political Science (LSE),lse-statistics,LSE Department of Statistics (with OR & Analytics programmes),https://www.lse.ac.uk/statistics,operations_research,valid,False,LSE 统计系与 OR/Analytics 项目所在地；研究含运筹、统计学习。,,
36,University of Sydney,sydney-business-school,The University of Sydney Business School,https://www.sydney.edu.au/business/,business_school,valid,False,含 MBA、PhD、Master of Business Analytics。Faculty: https://www.sydney.edu.au/business/our-research/researchers,,
37,Australian National University (ANU),anu-cbe,ANU College of Business and Economics (CBE),https://cbe.anu.edu.au/,business_school,valid,False,下设 Research School of Management、ANU College of Business and Economics，含会计、精算、商业分析、统计与运筹。Faculty: https://cbe.anu.edu.au/our-people,,
37,Australian National University (ANU),anu-school-government,ANU School of Government (formerly ANU Crawford School),https://crawford.anu.edu.au/,public_policy,valid,False,ANU 公共政策/政府学院 (Crawford School of Public Policy)，含 MPP、PhD。M Crawford 前身。,,
38,Seoul National University,snu-business,Seoul National University College of Business Administration,https://cba.snu.ac.kr/,business_school,valid,False,首尔大学商学院含 BA、MS、PhD、MBA；研究覆盖财务、运营、IS、IR。英文教师: https://cba.snu.ac.kr/en/people/faculty,,
38,Seoul National University,snu-gspa,Seoul National University Graduate School of Public Administration,https://gspa.snu.ac.kr/,public_policy,valid,False,首尔大学行政大学院含公共管理硕士与博士。,,
39,University of Queensland,uq-business-school,UQ Business School,https://business.uq.edu.au/,business_school,valid,False,UQ 商学院是澳八大之一，含 MBA、Master of Business Analytics。Faculty: https://business.uq.edu.au/research/researchers,,
40,University of Bristol,bristol-business-school,University of Bristol Business School,https://www.bristol.ac.uk/business-school/,business_school,valid,False,Bristol 商学院含 MSc Management / Accounting & Finance / Business Analytics、PhD。Faculty: https://www.bristol.ac.uk/business-school/people/,,
41,The University of Texas at Austin,ut-austin-irom,"McCombs IROM — Information, Risk, and Operations Management",https://irom.mccombs.utexas.edu/,operations_research,valid,False,IROM 是 McCombs 下运营管理与信息系统系；含运筹、IT 风险、运营管理。,,
41,The University of Texas at Austin,ut-austin-lbj,UT Austin LBJ School of Public Affairs,https://lbj.utexas.edu/,public_policy,valid,False,LBJ School 是 UT Austin 公共政策学院，含 MPA、MPP、PhD。,,
41,The University of Texas at Austin,ut-austin-mccombs,McCombs School of Business,https://www.mccombs.utexas.edu/,business_school,valid,False,McCombs 含 MBA、PhD、MS in Business Analytics、MSc in Finance。Faculty: https://www.mccombs.utexas.edu/faculty-and-research,,
42,University of Amsterdam,uva-abs,Amsterdam Business School (ABS),https://abs.uva.nl/,business_school,valid,False,ABS 与阿姆斯特丹经济与商业学院 (ASE) 互补；含 MSc in Business Analytics / Finance。Faculty: https://abs.uva.nl/research/faculty,,
42,University of Amsterdam,uva-ase,Amsterdam School of Economics (ASE),https://ase.uva.nl/,engineering_management,valid,False,ASE 是 UvA 的经济与商业经济学系，与 ABS 互补；含 MSc Economics / Business Economics。,,
43,Zhejiang University,zju-som,Zhejiang University School of Management (管院),https://www.som.zju.edu.cn/,management_school,valid,False,浙江大学管理学院是管理学院；含 MBA、EMBA、MPAcc、PhD。英文: https://www.som.zju.edu.cn/en/,,
43,Zhejiang University,zju-spa,Zhejiang University School of Public Affairs (公管学院),https://www.spa.zju.edu.cn/,public_policy,valid,False,浙江大学公共管理学院，含 MPA、MPP、PhD。,,
44,University of Washington,uw-evans,University of Washington Daniel J. Evans School of Public Policy & Governance,https://evans.uw.edu/,public_policy,valid,False,Evans School 是 UW 的公共政策学院，含 MPA、MPP、PhD。,,
44,University of Washington,uw-foster,Michael G. Foster School of Business,https://foster.uw.edu/,business_school,valid,False,Foster 含 MBA、MS in Business Analytics / Supply Chain Management、PhD。Faculty: https://foster.uw.edu/faculty-research,,
45,The Chinese University of Hong Kong (CUHK),cuhk-business-school,CUHK Business School,https://www.bschool.cuhk.edu.hk/,business_school,valid,False,CUHK 商学院含 MBA、MSc in Business Analytics、PhD。Faculty: https://www.bschool.cuhk.edu.hk/faculty-and-research/,,
45,The Chinese University of Hong Kong (CUHK),cuhk-ie,CUHK Department of Systems Engineering and Engineering Management (SEEM),https://www.se.cuhk.edu.hk/,systems_engineering,valid,False,SEEM 是系统工程与管理相关方向，是管理科学与工程对应的工科系所之一。Faculty: https://www.se.cuhk.edu.hk/en/people,,
46,Université PSL (Paris Sciences et Lettres),psl-dauphine,"Université Paris-Dauphine, PSL — Management & Organisations",https://dauphine.psl.eu/en,management_school,valid,False,Dauphine 是 PSL 下管理/组织研究单位，含 MSc in Management / Business Analytics、PhD。,,
46,Université PSL (Paris Sciences et Lettres),psl-mines-paris,"Mines Paris – PSL, Engineering Management & Industrial Engineering",https://www.minesparis.psl.eu/,industrial_engineering,valid,False,Mines Paris PSL 是 PSL 下工程管理/工业工程传统强校，含 Centre de Gestion Scientifique (运筹/管理科学)。,,
46,Université PSL (Paris Sciences et Lettres),psl-pse,Paris School of Economics (PSE) — affiliated with Université PSL,https://pse.ens.fr/,decision_science,valid,False,PSE 是 PSL 体系下核心经济研究机构；含决策与行为经济学、运筹、公共政策方向教师。PSL 内另设 Dauphine (https://dauphine.psl.eu/) 作为管理与组织研究补充。,,
47,Monash University,monash-business,Monash Business School,https://www.monash.edu/business,business_school,valid,False,Monash 商学院含 Monash Business School、MDSI。Faculty: https://www.monash.edu/business/research/researchers,,
48,Carnegie Mellon University,cmu-heinz,Carnegie Mellon Heinz College of Information Systems and Public Policy,https://www.heinz.cmu.edu/,information_systems,valid,False,Heinz College 信息系统/公共政策方向，含 MISM、MSPP、PhD。Faculty: https://www.heinz.cmu.edu/faculty-research,,
48,Carnegie Mellon University,cmu-tepper,Tepper School of Business,https://www.cmu.edu/tepper/,business_school,valid,False,Tepper 是 CMU 的管理学院，运筹/决策/信息系统方向强势；含 MBA、PhD、MS in Business Analytics / Computational Finance。Faculty: https://www.cmu.edu/tepper/faculty-and-research,,
49,University of British Columbia,ubc-sauder,Sauder School of Business,https://www.sauder.ubc.ca/,business_school,valid,False,Sauder 含 MBA、PhD、MSc in Business Analytics。Faculty: https://www.sauder.ubc.ca/People,,
49,University of British Columbia,ubc-sci,UBC School of Information (iSchool),https://ischool.ubc.ca/,information_systems,valid,False,UBC iSchool 是信息系统/信息科学方向学院，含 MLIS、MSc in Information。,,
50,Ludwig Maximilian University of Munich (LMU Munich),lmu-school-of-management,LMU Munich School of Management,https://www.mgmt.uni-muenchen.de/,management_school,valid,False,LMU School of Management 是 LMU 的管理学独立学院，含 Institute of Information Systems & Marketing / Institute of Strategic Management / 等。Faculty: https://www.mgmt.uni-muenchen.de/people/index.html,,
